user,Review,SENTIMEN
Pratiwiamel,"Spam melulu di online Internet, nganggu aja klau mauain internetan, enggak punya modal ya buat iklan di tv",positif
dinnaayu,Terkadang kecewa dengan shopee saya pengguna paylater selalu bayar tepat waktu data sudah masuk seharusnya team shopee tau dan di kasih fitur shopee pinjaman ... karena bisa di liat data pembayaran sangat tempat waktu saya di situ saya kecewa ... Semoga di dengar saran saya dan kecewa saya di team shopee,positif
Aytiaraaa,ini mah cuman mau daftar nomor telepon gak bisa katanya sudah terdaftar! SHOPEE MAKAN UANG!!,positif
yatinur,"Tidak membela hak pembeli. Hanya membela hak penjual saja. Ketika kita order, dan kita membatalkan ada pusat diskusi menanyakan kenapa di batalkan. Tapi ketika penjual yang membatalkan, tidak ada pusat diskusi nya. Saya menunggu 9 hari orderan itu, dan se enak nya penjual membatalkan begitu saja,tanpa tanya ke saya. Sangat merugikan pelanggan. Sebaiknya shopee harus adil menganai ini. Saya tunggu 9 hari tanpa dapat apapun.",positif
MiraS,Ko ngga bisa di donglod,positif
enilistiani,1. Lemot 2. Voucher free ongkir tipu2 pas di cek harus pakai sapipay 3. Koin berkurang 4. Aplikasi Pelit,positif
sylviadr,"Ga ngasih solusi percuma live chet sm agennya, malah bikin emosi",positif
Heykarr_98,Kecewa saya beli produk tapi rusak/kw/tidak ori...! Tolong tumpas toko yang menjual barang palsu Fokus layanan! Mending beli di lazada gampang kualitas terjamin BALAS! JANGAN CUMA DIAM SAJA!,positif
noviagung,"Kecewa dengan Shopee belakangan ini, top up Shopee pay lebih 1x24 jam belum diterima dan tidak ditindaklanjuti",positif
divaanastasia,Menjijikan sekali aplikasi ini,positif
chiaraearliana,Maaf sebelumnya knapa aplikasi ini memaksa suda saya batalkan tapi tetap saja di kirim pokonya yng saya batalkan pasti saya tidak bayar,positif
ridaasf,Ini kalau dongkalaut kok lama,positif
silviasttt,Ah gak bagus suka ngehang jangan gunain aplikasi ini,positif
lalalayolla15,"Sekarang dikit"" perbarui,kalau gak perbarui gk loeding""",positif
chiaraayuki,"Saya tidak bisa log in, setelah ganti hp, mau log in pakai nomer hp, pakai facebook, pakai email juga tidak bisa, kenapa jadi ribet banget",positif
utariprabawati19,Jangan top up ff di sopee saya pernah ketipuu,positif
nessycz,Shopee elek masa saya baru donload langsung pesen bola kompan pas sampe bolanya malah bocor ga bisa di tambal ga bisa di jahit gimana donk tlong dari pihak shope untuk memperbaiki masalah saya Intinya saya nyesel donload aplikasi ini,positif
rizkavanissa,Mau hapus akun saja sulit gak bisa,positif
rismafaz,Jngn dowload ongkirnya mahal masa barang cuma 15 rb ongkirnya 75 rb,positif
zulfiqri,"aplikasiya penjual terbesar,tapi untuk masuk login ke akun sendiri sangat susah ,,,layanan super jelexxx sekali susah mendapatkan kode Otapi...gak ngerti apa masalahnya....aplikasi parahhhh",positif
ismahbsyrh,"Saya ada masalah tapi cs tidak bisa menjawab pertanyaan saya terkait dengan masalah saya, pokoknya jelek banget cs nya",positif
auliayasminf,Saya kecewa sama pihak shopeee. karena 3 hari yang lalu saya di tipu. Saya ditelpon dr pihak shopeee katanya lalu menyuruh saya isi shooppay 300 ribu lalu saya isi dan langsung diketika itu uang saya hilang di akun shopeee nya...,positif
ZulfaaJannah,"Jijik,,dah dimasukin kode buat login malah kode salah mulu.gk jelas banget si",positif
sahiraadan,"Barang nya dateng , terus kena tipu ???? sudah beli mahal mahal datang nya kena tipu ????????",positif
dream_bigger,Shoper banyak penipuan...hati²..kami sulit mengambil pengembalian dana...aplikasi shopee banyak penipuan...,positif
Nova_Mae90,"Gtw,shoppe maksa gw buat kasi nilai,ya gw kasi sekarang",positif
pinkchurros,"Ada penipuan berkedok kode verifikasi , tolong ditindak lanjuti keamanan dalam shopee",positif
vibikaila,Kenapa kok kluar sendiri. Akun sandi pdhal bner. Ttep salah. Mana sudah trlanjur beli barang. Gimana sih,positif
nowphle,sudah di update tapi fitur fontnya tetep ga berubah,positif
itsisaura,Woy shopee kenapa gua setiap mau kirim alamat ada tulisan terjadi kesalahan,positif
iamsofia,Semakin susah tentukan alamat,positif
NilaNa,"Kenapa pilihanbarang tidak muncul dilayar.mohon bantuanya,terimakasih",positif
yensishania,Shopeepaylatter tidak muncul?,positif
omisah,"order barang,mau cancel karena salah pilih, pembatalan ditolak padahal barang belum dikirim, kecewa sangat kecewa sama aplikasinya.",positif
azaliaarw,Gk pernah daper voucher cok,positif
rahmawati19,Kok saya ga bisa ngorder barang?,positif
alluna_,Akun google gw jadi hilang gara gara daftar shopee,positif
Lyyalya,tidak puas akun saya dibatasi .. ketika mengajukan banding malah ditolak kecewa sekali padahal saya ini sebagai customer selalu percaya kpd pihak shopee tetapi setelah kejadian ini saya kecewa,positif
rizkikiutami,Shoping kadang²gk bener aku pesen tapi gk di anter,positif
Kartikadha,Knapa ya shopee tdak bisa d instal,positif
dhiyaaaks,"Pemilihan jasa kirim menyedihkan... Bikin ilfeel... Bukan peningkatan, ini penurunan standar... Siap2 ditinggalkan ya ??",positif
MeliSofia,"Kecewa sama shopee, g ada lagi opsi pengiriman kaya dulu. yang ada ongkir mkain mahal. Cari yang laen aja lah. Ongkir lebih masuk akal.",positif
fereneliza,Bukannya makin bagus malah makin jelek aplikasinya keluar sendiri Terus,positif
Firdasalsabilah,Maaf saya berikan anda bintang 1 yang sebelumnya saya beri bintang 5 …. Tolong kembalikan pilihan untuk memilih jasa pengiriman,positif
unengg,Ga bisa pilih jasa pengiriman jnt/sicepat/dkk sekarang. Impactnya jadi lama pengirimannya,positif
seiameii,"Kemarin aku kasih 5 pi, tapi maaf sejak dihapusnya pemilihan jasa pengiriman aku mulai gak suka sama kamu Yaa emang kamu maunya kita (pembeli) di untungkan sama sistem ini, namun di lapangan sangat berbeda pi, maaf pi aku melirik yang lain, kalo kamu mau merubahnya kita bisa jalan terus ?? Aku tunggu sistem lamanya kembali",positif
dewirhma_,"Kalo ada bintang NOL saya kasih bintang nol kamu pi...... kecewa dengan sistem sekarang ga bisa pilih kurir,,, Kurir yang biasa datang kerumah saya maanaaaaaa ?????? alhasil pakait ga sampai,, sklipun sampai kurir lu jutex jutex kage ada senyum senyumnya... belanja di elu sekarang jadi nyaman ga tenang , takut pakaitnya ga sampai..... seblum lu rubah lagi sistemnya.. mnding pindah ke sebelah dulu deh...bye pee",positif
ghaisunnyy,"Males sekarang shopee ga seasik dulu, free ongkir harus pakai shopee pay terus bye ah RIBA. Ditambah pengiriman kurir gabisa milih, makin males. Belanja online beralih ke si hijau",positif
cindytanjung05,Asli ongkirnya gede banget,positif
Axzlyn,"Tolong perbaiki performa aplikasi, sering banget gagal proses, sama kembalikan pilihan layanan jasa expedisi atau pengiriman, jangan random dari pihak shopeenya",positif
anisnurlysani,"pakait sudah 5 hari statusnya masih di gudang, kagak gerak""..",positif
mariposa34,Tolong kembalikan pilihan jasa kirim seperti dulu..,positif
lnxtwr,Tolong jsn iklan lo mulu oi,positif
liashafai,Lelet sekali,positif
nandarizky0_,Tolong metode pembatalannya di percepat yc,positif
diawid27,"Kenapa berat banget aplikasinya, kurang responsif ketika memilih item",positif
vitakusuma31,"Baru download , isi saldo shopee pay , langsung beli item, eh tau2 aplikasi ga ngrespon pin , tapi ga ada pilihan buat ke back screen, langsung ada notifikasi shope pay di non aktifkan, sudah hubungi cs sampe pulsa abis 20k, sudah email ga ada respon Aplikasinya yang bobrok, sistemnya yang abal2 tapi customer nya yang ribet. Auto bintang 1 sudah",positif
Halluna,"Saya tidak bisa menggunakan shopee dengan baik karena sistem nya cod semua padahal saya tidak mengotak ngatiknya sehingga jasa kirim ke kota saya tidak bisa,mohon di perbaiki shopee ku??",positif
riskianamyt,Ini aplikasi buat belanja yh bukan buat download video..kenapah gw masuk sinih,positif
YLAnggraeni,Akun saya d pakai org lain yang mengaku sebagai orang shopee dan meminta kode dari sms tolong privasi keamanan akun penipuan meraja lela dan di salah gunakan oleh pihak yang tidak bertangung jawab...,positif
vuzahardyanti,"Jujur aplikasi shopee sekarang itu jelek banget dan untuk memberikan voucher gratis ongkir pun harus rebutan dulu sama yang lainnya beda sama tahun-tahun sebelumnya yang memberikan voucher gratis ongkir secara cuma-cuma, Kitakan yang sering belanja di shopee butuh voucher itu buat potong ongkir nya apa lagi buat yang pembayaran cod. Kalo kaya gitu mah mending pindah ke LAZADA yang memberi voucher gratis ongkir terus dan tentunya Banyak diskon.",positif
bagassss,Habis di afgred lemott banget,positif
paikampai,Maaf terkena kebijakan tidak jelas dengan dibebankan bunga tiba2. Tanya k cs solusinya kebijakan baru. Menyesal pakai paylater bunga gajelas. Belum telat bayat sudah ada bunga gajelas. Males ribet,positif
beautycandy,gak ada ovo...aku senang pk ovo,positif
ShellaDarrr,Aplikasi terburuk yang saya pernah temuin sudah antar nya telat   juga kali,positif
Dila_April,Ini aplikasi bagus untuk musim kini lagi Corona belanja di rumah aja,positif
agnesleoniangela,Shopee sekarang jelek ihh nggak ada gratis ongkir cod ataupun gratis ongkir alfamart/indomaret jadinya kan males harus beli shopeepay dulu nyusahin aja!! Direstart juga susah aplikasinya mau daftar spaylater susah banget suruh restar terus sudah direstart tetep aja nggak bisa males!!,positif
Mandaxx,"Gak suka saya padahal koin saya 200 jadi 15, kenapaa kya gitu gak mu main lagii saya",positif
pichuuucnss,Bagaimana dengan shopeepay sekarang???kok gk bisa top up?,positif
erlinarahmynt,Knapa ongkirnya jadi mahal mahal banget,positif
selenators,"Aplikasi ga ada akhlak...ga bisa kebuka !!! Sinyal gw bagus tapi kenapa loading terus, waktu baru isi kuota, ttapi aja ga bisa..ni Server gimana Sih..sama aja kyk aplikasi sebelah..",positif
vanniwijayaa,Tolong jangan lola dong aplikasiny??,positif
sitafebiola,Aplikasi nya kurang jossss  Pas verifikasi nomer hp lama muncul kodenya Buat emosi??????????????,positif
Lucialucioo,masa gratis ongkirnya di banyakin yang SHOPE PAY nggak jelas ni.bilangnya gratis ongkir mana kami bukan pengguna shope pay hanya melongo,positif
ciitrasarii,"Aplikasi banyak hack... Shopee pay saya di retas,terus di nonaktifkan.. 3 akun shope saya tidak bisa digunakan.lapor ke pihak shopee tidak ada tanggapan",positif
teennad,Setiap aku belanja selalu Gratia ongkir aku di dukung oleh shopee,positif
withsusan,SHOPIE NYA GAK BISA D I B U K A,positif
kenya.rendi,Perbaiki dong. Parah amat. sudah kehilangan uang buat shopeepay. Akun juga ilang gara2 nungguin 12.12,positif
Lailatus0602,"12.12 gak bisa cekout apa"" aplikasi yang aneh, saldo juga ilang pas di cek gk muncul yang ada cuma koin pdhal saldo masih",positif
biancafr,ANDA HANYA BISA NGE-SCAM (MENIPU) BOTTSSSSS,positif
Haihandaa,Tolong Nih di amged lagi dog,positif
SeptkhaHrls,"KECEWA!!! sudah nahan ngantuk dari jam 10 sampe jam 2 demi flash sale tapi nggak dapat apa"" biar 1 barang :). yang saya dapat hanya tulisan eror eror eror dan eror . Dah Lahh percuma begadang nya mana besok gua ulangan lagi :) Thanks Shopee atas flash sale zonk nya :)",positif
beautycaa,Giliran ada acara 12 12 eror mulu mau check out barang.,positif
enditam,jelek! SERVER eror MULU! TOP UP SELALU GAGAL! APALAGI PAS 12.12!,positif
iamaliarz,"sudah update, masukan keranjang, di checkout tinggal bayar. Koneksi terputus terus padahal gw lancar sambil telfonan.. why?",positif
puputt25_,"Aplikasi ngeselin, emosi, ketika checout ga bisa terus, katanya terlalu banyak penggunaan, ya kalo ga mau banyak yang beli atau checkout skalian ga usah bikin event, kalo perlu ga usah jualan hapus aja lah aplikasi ini, lemotnya minta ampun, percuma update untik 12.12 kalo sama aja malah lebih parah ga bisa nanggug yang ikut, padahal yang kemarin tidak seperti ini, dan di eventnya makin lama di dikitin kapasitasnya. Halah mau tes aplikasi lain aja katanya bnyk yang lebih bagus, kalo bagus pindah aja",positif
safiranina,"bigsale 12 apaan,,masak voucher diskon 1.2jt di klik gak bisa malah keluar sendiri,server eror lah..gak masuk akal merasa tertipu..",positif
Annisafatayat_18,"Payah.. Tiap ada event server nya nambah buruk. Boro2 mau beli, buka aplikasi nya aja susah. Bangke shopee skr. Mening lapak ijo",positif
nikennpl,"Balikin saldo shopee pay w,,ngisi shopepay kok ndak bisa login..ket f02",positif
chocolatteluv,Saya mau masuk ke akun shopee. tapi gk bisa sistem dalam gangguan terus Tolong di perbaiki,positif
ammega,"Pepekk kali shopee nihh, saya pesan ukulele cowboy yang dtg malah ukulele sen sen",positif
Indriastri,"Coba pakai paylatter nya, pas mau check out biaya penanganan 1k eh pas mau bayar tagihan paylatter coba cek malah jadi 2,5k",positif
Amelpratiwia,"Terlalu banyak potongan bagi penjual & kalau mau beli gak ada gratis ongkir nya,Ada gratis ongkir tapi ribet,padahal promosi nya aja bagus"" tapi gak sesuai kenyataan,payah??????",positif
malvasas_,Free ongkir ya ga ada lagi bagaimana ini minnnnn,positif
paniaa,Assalam'ualaikum kanakungedonlot shoppe lamangedonlotnya,positif
dyyqrn,"Banyak bug, user experience diperhatikan juga lah, aplikasi mulai berat.",positif
putrirzzky,kenapa di instal gk bisa,positif
Claralau_,Jelek' tidak sesuai iklannya,positif
julieettes,Saya sangat kecewa dengan shope di saat saya tidak bisa mengaktifkan shopepay..mereka tidak mau mengembalikan dana saya ke rek.bank BRI yang saya ajukan...mereka maksa untuk berusaha terus aktifasi shopepay padahal walaupun hari2 mendaftar di shopepay selalu gagal Terus...jika saya menelpon ke no.shopee mereka kadang ngejawab kadang juga diem...padahaal pulsa saya uddah banyak di makan..tolong yaaa buat piihak shope jangan buat susah kami tolong. Dana saya. Segera di kembalikan??????,positif
jeesijung,hbs update mau upload produk ribet bnget di bagian merk suka gak muncul bikin kesel aj.,positif
feein,"TOLONG VOUCHER GRATIS ONGKIRNYA JANGAN CUMA UNTUK SHOPEE PAY AJA, AKU PENGGUNA SETIA SHOPEE :'(",positif
NFeys,"update mulu, jadi makan waktu,penghapusan cache tidak pengaruh,update tuh setaun sekali, ini mh menghambat waktu aja jadi serba nge hang kalau gaa di update,tolong konsisten dalam ketentuan meng update agar transaksi penjualan dan pembelian tidak ribet",positif
Nichelle23,Payah kali loginnya Kenapa ni?,positif
dinaelvinna,Payah. Kok gak bisa daftar akun di shope?,positif
VaniaAdristi_,Dapat email habis penyelesaian pesanan akun anda di hapus ...apa salah saya ya... padahal sering belanja ya lancar ...jadi kecewa sama shopee yang tiba tiba menonaktifkan akun shopee saya,positif
rossitarwr,"Udh gk jelas aplikasi ini, dlu ok skarenag gara2 ada shopeepaylater orang lain yang belum bayar malah saya yang akunnya di batasi pdhal beda akun shopee, kecewa sih. Akun di batasi gak bisa belanja lah otomatis buat apalagi punya akun ini kalo gaada gunanya, makin sini shopee udh kebanyakan yang pakai bukannya di perbaiki atau di nyaman2 malah bikin gk nyaman banget ribet lagi, gk bisa belanja lagi akun di batasi.. Minta di uninstal aplikasi ini secara tidak langsung.",positif
Nafisa22,"Sekarang mau order malah sulit, gimana sihha padahal semua persyaratan sudah benar, tapi tetap aja ngak bisa??????",positif
bungabcd_,"Kecewa... Saya belanja pas waktu HARBOLNAS, tiba² pesanan dibatalkan oleh penjual,,kok pihak Shopee gak ada respon ya...sudah gt duitnya dikrmbalikan kena biaya ADM pula... Jadi saya sebagai konsumen sudah dirugikan.....",positif
ananastase,"Gratis Ongkir sekarang dikurangin, aplikasi sebelah udh banyak tuh gratis ongkir pakai metode pembayaran apa aja, buat jadi pelajaran aja gratis ongkir jangan pilih pilih yaa min",positif
farinasila,Pelit koin dan udh gak dpet gratis ongkir lagii.. gratis ongkir cuma untuk shopee pay doank. Huft! Makin lama makin males belanja dshopee mnding di aplikasi blnja lain aja ada gratis ongkirnya.??,positif
whyzihan,Udh download terus aku unistal lagi Terus download lagi malah lama amat ya??,positif
wandashrtni,"Skarenag ga da bebas ongkir, jangan d download.",positif
leetaisho,"Saya memperingatkan pada shopee Jangann keluar di google ganggu ajaaa mau download lagu parah aplikasi shopeeee keluar jadinya g bisa download lagu saya peringatkan untukkk tidakk keluarrr di googel,chrome,danbrowserr.Kalo di iklan gamee youtube g masalahhh!!!!!!!!!!",positif
ranidwilestari99,"Saya pengguna shopee,,,sangat kecewa karena uang shopepay saya hilang 3,1 juta,,,dan shopee tidak bisa membantu,,dn tidak bertanggung,,ngapin adain shopepay malah jadi uang saya hilang,,,akun malah dibobol tim shopee,,,tiba""bnyk sms dari shopee,,, Shopee sudh tidak amann,,,buat data2pribadi,,, Dimna rasa kepeduliannya,,, Semoga semua ada balasannya,,,sudh saya ikhlaas kn walapun uang arisan orang2,, Saya kasih bintang 1 jha,,,",positif
rahajengayuuu,Kok shope ini lambat ya Gw pikir shope ini cepat? Ehh ternyata Lambatnya minta ampunn,positif
karinamutiara,Niatnya mau instal tapi pelanggan dan pemakainya bnyk yang ngeluh jadi gak jadi untuk instal nih aplikasi,positif
nadia_24,"Penjualnya banyak yang gak amanah, tolong ditingkatkan lagi kwalitas dan penjual2 nakal tolong ditindak.",positif
merii05,Mana gratis ongkir yang dulu?,positif
Viviwyn,Shopee kurang belajar masa alat dj aku belum datang sampai sekarang yasar kali padahal aku pesan ya dari tanggal 8 sampa 21 ga datang datang peyu,positif
rrdinar,Gak bisa klaim voucher? Gini katanya mempermudah?. OI BANGON sudah DHUHUR,positif
alvinawlsch,Sumpah ya kenapa shopee sekarang jadi gini Tengah2 di pakai harus log in lagi log in lagi Capek tau Lama2 aku uninstal juga nich,positif
widiaastuti14_,Kebanyakan iklan,positif
Momono,"KESELLLL banget SM aplikasi SHOPEE !!!! ?????? skarenag Loading lama bangett TAPI SINYAL LANCAR DIpakai YTB JG GA LOADING lahh ini loading sekitar 20 detik baru muncul terus kalau lagi nyari barang terus""an bakal gak muncul alhasil harus keluar aplikasi shopee dl baru bisa",positif
felfell,"untuk shoppe.mohon kedepannya kasih fitur untuk bisa menghubungi pihak pengirim (JnT/JnE). karena saya sudah melakukan pembellian dan pembayaran, pakait saya malah diterima orang lain. kenapa pihak pengirim tidak menghubungi pembeli terlebih dahulu. padahal saya sudah menulis nomer saya dengan sangat jelas. saya kecewa sekali, uang saya terbuang sia""",positif
Rahma16_,Tidak memuaskan,positif
anyameraldin,"admin ini kok dari tdi gak ke instal yah dari tdi kaya ke stak gitu terus juga gak jln jln loh % nya, tolong yah di prebaikin",positif
danisawulan,"Makin ribet , makin ga nyaman.. transaksi mudah cuma untuk pengguna shopeepay doang .. ribet juga kalau mesti isi saldo",positif
hanalike,Pliss jangan lemot,positif
fournnes,"Pengirimannya pilih yang shopee express sameday tapi udh 3 hari gak sampe"", disebelah yang reguler aj bisa 1-2 hari sampe",positif
sherryls,"Hay shopee.makin berat aja sih ini. Makin di update makin lemod. Saya minta tolong. Tolong banget. Hapus aja deh itu game2 atau update yang enggak perlu. Kami butuh belanja dengan nyaman, cepat dan ga berat buat buka aplikasi nya. Atau cobalah bikin shopee lite yang ringan kalau emang sayang sama game mu daripada kenyamanan belanja. Ini di hp saya app shopee paling ngabis2in memori. Buset dah. Ini sama marketapilace FB lite aja kalah ringan jauh banget. Lemot jadi males update2.",positif
meutyazahra,"Kenapa shopee gk bisa diperbaruhi terus gk bisa buka shopee,untuk mencari ap yang kita mau",positif
novaazr,.r juga itulah mengapa hsgi,positif
hannyyosephine,"akun saya dibekukan padahal saya tidak melakukan kesalahan. padahal baru saja diperbaiki. apanya yang diperbaiki kalau dibekukan lagi? saya sudah top up shopeepay, tapi akun dibekukan. mau dikemanakan uang saya? apa ini caranya shopee mengambil uang konsumen? sungguh tidak bertannggung jawab!!! saya sudah lama memakai shopee dan melakukan transaksi berulang kali tapi kenapa dibekukan? aplikasi tidak bertanggung jawab!!!!!!!!!!!!!!!!!!!!!!!!",positif
Viraauliaaliy,Kenapa ya shopee makin susah dibuka?,positif
erf1994,Masalah mulu...mau live ada aja gangguannya,positif
sitinatasya,"Kenapa shoppepay later saya dikunci padahal sudah update info, padahal gk pernah telat bayar, sudah ub cs kata ya ada ketentuan yang ngak sesuai, tapi ngk disebut apa, buka donk blokir shoppelater saya",positif
milaku,Parah bnget ga bisa kebuka semua fto2 dagangan nya jadi lemot kalau bisa perbaiki aplikasi nya jangan kaya gini,positif
nshellv,Kenapa COD tidak pernah barang diantarkan. Apalagi kalau kurirnya JNT. shopee harus tegas terhadap ini. Kalau tidak sanggup pihak KURIR JNT Mengantarkan pakait COD. lebih baik tidak usah dibuat COD atau kerjasama dengan pihak kurir tersebut. Hanya membuat kecewa pelanggan saja.,positif
fasskinjournal_,"Mahal sekali barang""nya",positif
najwashivva,Katanya Gratis ongkir huh ternyata nggak,positif
aristyadini,"sudah lunas beberapa bulan lalu, saldo spaylater saya masih belum dikembaliin parah si emang",positif
yayaa88,mengapa saya tidak dapat menggunakan voucher gratis ongkir sekaligus dengan cashback? setiap ingin menggunakan gratis ongkir sekaligus cashback yang terpilih hanya salah tau doang tidak bisa di klik bersamaan.,positif
Nawalrina,Ka aku udh 2x nge instal ini kenapaa aplikasi nya ga muncul d hp sayah padahal sayah brulang kali nge instal ke aplikasi baru,positif
Tasyardelia291,Katanya potongan 50rb kalau belanja 300rb nyatanya potongn cuman 20rb ????????????????????????????,positif
Ndi,Vouchernya sering ngak bisa dipakai dan banyak iklanya yang menganggu,positif
asihbudi,Dah lah males ??,positif
Dhea1008,Pengirimannya mahal sekarang gak kayak dulu percuma vouchernya gak bisa membantu..,positif
Najwashivaa,maaf dari ????? jadi ?Sekarang kok gini y ongkir pilih belakangan ubah ongkir. . sudah cek out bayar baru ketauan bisa rubah ongkir. Dimana2 y milih ongkir dulu laahh.. anehh. Yang tau exp mana yang baik dan cepatt itu y cuma pelanggan. Jadi biarkan sya memilih sendiri exp apa..,positif
erma,ternyata aplikasi segede shopee pun masih problem untuk masukin akun .. gimana mau belanja .. percuma iklan di mana² tapi problem banyak .. mending kurangi budget iklan untuk perbaiki aplikasi nyaa..??,positif
justi,"Ribet2 mau ganti nomer aja harus ribet,apa saya sekolah hacker biar gampang ganti nomer akun shopee",positif
febbyindraa,Kmrn seneng liat aplikasi ini sekarang sudah di update malah tambah gak keluar gambarnya jadi gk semangat,positif
Grifithts,Mau ganti username harus hapus akun terus verifikasi ktapi harus beda orang ribet amat,positif
ebbysilvia,Lama bangat ngunduh aplikasi ini,positif
peachyluvv,"Lu itu cuman aplikasi belanja   ,msak kudu btuh sinyal kuat buat lancar loading ny Dkit2 psti update",positif
Rizwana,"Shoppe 12,12 tapi sekarang sudah tgl 19 pesanan blm sampe (pke kurir j&t expres,parah banget pengiriman belanja di shoppe,pesanan lama dipegang kurir gk sampe2",positif
DewiSetyaR,Jelek'banget asli aplikasi nya,positif
Mairifannisa,"Saya kasih bintang 1 karena shopee pay later saya belum muncul muncul,temen saya baru daftar langsung muncul shopee pay later nya,payahh",positif
Lelaindah22,"Kecewa !!! Capek"" ngumpulin poin, Game Shopee mancing nya hilang !!!",positif
puspawidhi_,Saya beli baju ditipu terus ????????shope kan banyak penipu,positif
anndisya,Nganter nya lama cuman beli sepatu doang 7 hari baru sampai,positif
hannaaudita,"Shopee pay later saya limitnya jadi 0,padahal bayar gak pernah telat bayar:( Kecewaaa banget:(",negatif
vezahanana,"kenapaa ko sekarang pilih pengirimny ng banyak, j&t expres atau yang lainy ko nga add",negatif
vanittalatte,Enakan yang sebelumnya saat tidak ada opsi pengiriman hemat reguler dll..ribet mahallllllll...sy sudah nyaman dengan yang lamaaaa...pindah toko ajalahhhh ...,negatif
choica,"Bintang 1 lebih co2k, setelah di Update malah di ubah gak bisa milih kurir/jasa pengiriman,tidak perlu gratis ongkir yang penting bisa pilih kurir.",negatif
hildajasmine,"bintang lima untuk tahun"" kemaren",negatif
dellaaaax0,Jasa kirim dikekang.... ??????,negatif
Hanifatussyahadati,"Hallo min, saya sudah info ke IG @shopee_id, tapi kenapa belum ada jawaban sampai sekarang? Padahal dari hari minggu. Tolong lebih care lagi min sama customernya. Ditunggu",negatif
rifaazalfaa,"Kak kenapa daftarnya susah ya sekarang ,",negatif
Davico26,"Padahal dulu waktu baru baru makai aplikasi shopee pengemasan dan pengiriman nya cepet. tapi sekarang pengemasan dan pengiriman nya lama banget, voucher juga sudah jarang ada, banyak buat pengguna shopeepay aja",negatif
skinbingbing,Orang2 heboh dapat kenaikan limit...lah gw limit malah NOL dari semenjak Corona... WHY??? padahal gk prnh telat bayar.... Jiiirrr,negatif
karensilvia,Auto Delete kalo Secret number kalah Vote. Dalam 1 menit +30 RB voted untuk SK . Maklum sih masih jadi Brand ambasador nya. Wkwkwk LOL (the power of orang dalam). Mending pakai market place lain aja LOL,negatif
aika_by,"Tadi nya saya sudah kasi bintang 5 , jadi begini saya beli barang . Posisi saya lagi kerja Terus. Disitu stattus sudah di terima atas nama saya . Tolong dong kasi tau kurir nya kalau misalkan di titipin ke kluarga , di terima nya atas nama keluarga . kalau oleh tetangga di sebuntukan nama nya . Ini skarenag barang saya belum sampai tapi stattus nya sudah di terima !! Parah",negatif
jihanhanaaa,"Ampas banget,isi saldo shopeepay pay ga tau kapan masuknya,keburu barang pesenan abis....su asu",negatif
penggunabaru,"Makin kesini ongkirnya makin mahal, harga barang sama ongkirnya malah mahal ongkirnya&sudah gak ada voucher gratis ongkir lagi",negatif
macaround,"Kaga bagus shopee,masa akun w di bekuin ga bisa belanja lagi.parah",negatif
venitawidya,"Saya benar2 kecewa dengan aplikasi shopee ini karena pihak tim shopee sangat lambat dalam menyelesaikan kendala konsumen setiap kali konsumen komplen tidak ditanggapi dengan baik, dan suka PHP pihak konsumen, dan ketika konsumen masih menjawab chat tentang komplen tersebut malah tiba2 chat dihentikan tanpa memberitahu terlebih dahulu, dimana etika kalaian sebagai pihak tim shopee? ????????????",negatif
fandanofita,Saya paham situasi lagi begini tapi tolong lah jasa pengirim jangan kaya asu ! Saya juga mencari nafkah Biayanya itu loh sampe melebihi barang yang mau kita beli ..sudah mengalami keterlambatan 1-2 hari.. Jadi tolong lah saya juga reseller,negatif
vianivia10,APAAN SI INI BARU DOWNLOAD AJA NGESTUCK DI 78% GAJELAS!! sudah 2 KALI DOWNLOAD SAMA AJA,negatif
Callme_ressy,"Setiap buka aplikasi, belum pun muncul gambar tiba2 aplikasi shopee ku tertutup sendiri.. padahal aku mau belanja :'(",negatif
dianntys,Iklan kepanjangan di aplikasi lain,negatif
mikalopita,Jelek banget ini aplikasi mau main aja gak bisa,negatif
ratmadn,di permainan candy crusah shopee . sy sudah di level 111. tapi gmn mau cr main nya. di kunci semua . tolong d perbaiki.,negatif
anyewlir,"Kecewa sama shopee jelas"" punya gratis ongkir tapi ketika dipakai tetap masih ada ongkirnya, jelas"" tertulis diaplikasi untuk pengguna baru bisa klaim hadiah gratis tapi ketika mau klaim gabisa dengan alasan jaringan eror padaha l buat cekout barang lain bisa aja!",negatif
anastasianovita88,Maap ya pe shopee. Kenapa sekarang jadi gini sih. Masak kita gak bisa pilih ekspedisi asli jadi kesel banget ongkir jadi mahal ya untung kalo ketemunya jnt ekspress kalau dikirim pakaik sicepat jadinya lemot banget ya gini kalo gak bisa milih sendiri jadi males ordernya,negatif
melisa13,KURIR SHOPEEE KELAMAAN KALAU NGIIRIM LEBH BAIK ESKPEDISI YANG LAIN,negatif
rosaliaharjasumantri,Barang katanya free ongkir padahal udh pakai voucher.pas di checout memang Free .eh giliran checout ke 2 mlh trnyata ongkir .ongkirnya mahal pula udh terlanjur ngumpulin barang mau dipesen ternyata ongkir.kecewa banget.,negatif
salmaulid17,"Akun jelek,, Vocher pengguna baru tidak bisa digunakan",negatif
